Chalinolobus dwyeri
Miniopterus africanus
Miniopterus australis
Miniopterus brachytragos
Miniopterus egeri
Miniopterus fraterculus
Miniopterus fuscus
Miniopterus gleni
Miniopterus griffithsi
Miniopterus griveaudi
Miniopterus inflatus
Miniopterus macrocneme
Miniopterus maghrebensis
Miniopterus magnater
Miniopterus mahafaliensis
Miniopterus majori
Miniopterus manavi
Miniopterus medius
Miniopterus minor
Miniopterus natalensis
Miniopterus newtoni
Minopterus paululus
Miniopterus petersoni
Miniopterus pusillus
Miniopterus robustior
Miniopterus schreibersii
Miniopterus shortridgei
Miniopterus sororculus
Miniopterus tristis
Eumops perotis
Nyctinomops macrotus
Otomops wroughtoni
Tadarida brasiliensis
Chaerephon aloysiisabaudiae
Chaerephon ansorgei
Chaerephon atsinanana
Chaerephon bemmeleni
Chaerephon bivittatus
Chaerephon bregullae
Chaerephon chapini
Chaerephon gallagheri
Chaerephon jobensis
Chaerephon jobimena
Chaerephon johorensis
Chaerephon major
Chaerephon nigeriae
Chaerephon plicatus
Chaerephon pumilus
Chaerephon russatus
Chaerephon solomonis
Chaerephon tomensis
Cheiromeles parvidens
Cheiromeles torquatus
Cynomops abrasus
Cynomops greenhalli
Cynomops mexicanus
Cynomops milleri
Cynomops paranus
Cynomops planirostris
Eumops auripendulus
Eumops bonariensis
Eumops dabbenei
Eumops delticus
Eumops floridanus
Eumops glaucinus
Eumops hansae
Eumops maurus
Eumops nanus
Eumops patagonicus
Eumops trumbulli
Eumops underwoodi
Molossops aequatorianus
Molossops mattogrossensis
Molossops neglectus
Molossops temminckii
Molossus alvarezi
Molossus aztecus
Molossus barnesi
Molossus bondae
Molossus coibensis
Molossus currentium
Molossus molossus
Molossus pretiosus
Molossus rufus
Molossus sinaloae
Mops bakarii
Mops brachyptera
Mops condylurus
Mops congicus
Mops demonstrator
Mops leucostigma
Mops midas
Mops mops
Mops nanulus
Mops niangarae
Mops niveiventer
Mops petersoni
Mops sarasinorum
Mops spurrelli
Mops thersites
Mops trevori
Mormopterus acetabulosus
Mormopterus beccarii
Mormopterus cobourgianus
Mormopterus doriae
Mormopterus eleryi
Mormopterus francoismoutoui
Mormopterus halli
Mormopterus jugularis
Mormopterus kalinowskii
Mormopterus kitcheneri
Mormopterus loriae
Mormopterus lumsdenae
Mormopterus minutus
Mormopterus norfolkensis
Mormopterus petersi
Mormopterus phrudus
Mormopterus planiceps
Mormopterus ridei
Myopterus daubentonii
Myopterus whitleyi
Nyctinomops aurispinosus
Nyctinomops femorosaccus
Nyctinomops laticaudatus
Nyctinomops macrotis
Otomops formosus
Otomops harrisoni
Otomops johnstonei
Otomops madagascariensis
Otomops martiensseni
Otomops papuensis
Otomops secundus
Platymops setiger
Promops centralis
Promops davisoni
Promops nasutus
Sauromys petrophilus
Tadarida aegyptiaca
Tadarida australis
Tadarida fulminans
Tadarida insignis
Tadarida kuboriensis
Tadarida latouchei
Tadarida lobata
Tadarida teniotis
Tadarida ventralis
Tomopeas ravus
Emballonura semicaudata
Balantiopteryx infusca
Balantiopteryx io
Balantiopteryx plicata
Centronycteris centralis
Centronycteris maximiliani
Coleura afra
Coleura kibomalandy
Coleura seychellensis
Cormura brevirostris
Cyttarops alecto
Diclidurus albus
Diclidurus ingens
Diclidurus isabella
Diclidurus scutatus
Emballonura alecto
Emballonura beccarii
Emballonura dianae
Emballonura furax
Emballonura monticola
Emballonura raffrayana
Emballonura serii
Mosia nigrescens
Paremballonura atrata
Paremballonura tiavato
Peropteryx kappleri
Peropteryx leucoptera
Peropteryx macrotis
Peropteryx pallidoptera
Peropteryx trinitatis
Rhynchonycteris naso
Saccopteryx antioquensis
Saccopteryx bilineata
Saccopteryx canescens
Saccopteryx gymnura
Saccopteryx leptura
Saccolaimus flaviventris
Saccolaimus mixtus
Saccolaimus peli
Saccolaimus saccolaimus
Taphozous achates
Taphozous australis
Taphozous georgianus
Taphozous hamiltoni
Taphozous hildegardeae
Taphozous hilli
Taphozous kapalgensis
Taphozous longimanus
Taphozous mauritianus
Taphozous melanopogon
Taphozous nudiventris
Taphozous perforatus
Taphozous theobaldi
Taphozous troughtoni
Nycteris arge
Nycteris aurita
Nycteris gambiensis
Nycteris grandis
Nycteris hispida
Nycteris intermedia
Nycteris javanica
Nycteris macrotis
Nycteris madagascariensis
Nycteris major
Nycteris nana
Nycteris parisii
Nycteris thebaica
Nycteris tragata
Nycteris vinsoni
Nycteris woodi
Noctilio leporinus
Noctilio albiventris
Mystacina robusta
Mystacina tuberculata
Mormoops megalophylla
Mormoops blainvillii
Mormoops magna
Pteronotus davy
Pteronotus gymnonotus
Pteronotus macleayi
Pteronotus mesoamericanus
Pteronotus paraguanensis
Pteronotus parnellii
Pteronotus personatus
Pteronotus quadridens
Pteronotus rubiginosus
Trachops cirrhosus
Carollia benkeithi
Carollia brevicauda
Carollia castanea
Carollia colombiana
Carollia manu
Carollia monohernandezi
Carollia perspicillata
Carollia sowelli
Carollia subrufa
Desmodus rotundus
Diaemus youngi
Diphylla ecaudata
Anoura aequatoris
Anoura cadenai
Anoura caudifer
Anoura cultrata
Anoura fistulata
Anoura geoffroyi
Anoura latidens
Anoura luismanueli
Anoura peruana
Brachyphylla cavernarum
Brachyphylla nana
Choeroniscus godmani
Choeroniscus intermedius
Choeroniscus minor
